region,category,sub_category,product_id,sale,rnk
Central,Technology,Copiers,TEC-CO-10004722,16975.00,1
Central,Technology,Machines,TEC-MA-10000822,13770.00,2
Central,"Office Supplies",Binders,OFF-BI-10001120,11056.50,3
Central,"Office Supplies",Binders,OFF-BI-10000545,10132.70,4
Central,"Office Supplies",Binders,OFF-BI-10004995,8416.10,5
East,Technology,Copiers,TEC-CO-10004722,29099.00,1
East,Technology,Machines,TEC-MA-10001047,13767.00,2
East,Furniture,Bookcases,FUR-BO-10004834,11274.10,3
East,"Office Supplies",Binders,OFF-BI-10001359,8463.60,4
East,Technology,Copiers,TEC-CO-10001449,8316.00,5
South,Technology,Machines,TEC-MA-10002412,21734.40,1
South,Technology,Machines,TEC-MA-10001127,11116.40,2
South,"Office Supplies",Binders,OFF-BI-10001359,8053.20,3
South,Technology,Machines,TEC-MA-10004125,7840.00,4
South,"Office Supplies",Binders,OFF-BI-10003527,7391.40,5
West,Technology,Copiers,TEC-CO-10004722,13440.00,1
West,"Office Supplies",Supplies,OFF-SU-10000151,12592.30,2
West,Furniture,Chairs,FUR-CH-10001215,9604.00,3
West,"Office Supplies",Binders,OFF-BI-10003527,7804.80,4
West,Technology,Accessories,TEC-AC-10003832,7722.70,5
