sub_category,sale_2022,sale_2023,growth
Machines,73723.20,109178.50,35455.30
Binders,87675.50,108363.10,20687.60
Chairs,151395.30,165429.80,14034.50
Supplies,16140.70,28917.40,12776.70
Storage,102907.40,113000.60,10093.20
Accessories,77627.20,83977.40,6350.20
Bookcases,53469.50,57346.60,3877.10
Phones,157334.70,160673.60,3338.90
Fasteners,1430.10,1508.80,78.70
Labels,6329.60,5665.30,-664.30
Art,13644.10,12615.70,-1028.40
Envelopes,8767.20,7150.00,-1617.20
Paper,38898.90,36932.40,-1966.50
Furnishings,47816.20,40522.10,-7294.10
Copiers,82090.30,62268.60,-19821.70
Tables,111305.90,88055.30,-23250.60
Appliances,65034.40,38663.30,-26371.10
